"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Kotturu","17.0436","81.7705","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gollapudi","16.5412","80.5784","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Patakakani","16.34","80.4908","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ravulapalem","16.4833","81.9833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Velugodu","15.7817","78.6892","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kanchika","16.6856","80.3892","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ankireddikuntapalem","15.9154","80.2108","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Bukkarayasamudram","14.6944","77.6381","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kuppam","12.75","78.37","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Mailavaram","16.7833","80.6333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vendram","16.562","81.4696","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chagallu","16.9833","81.6667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pakala","13.4667","79.1167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Madakasira","13.9369","77.2694","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ganapavaram","16.1233","80.1721","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pendurti","17.8278","83.2022","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Maruturu","15.9862","80.1041","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pamarru","16.327","80.961","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kaikalur","16.5509","81.2","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chagalamarri","14.9667","78.5833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nizampatam","15.9","80.6667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Palkonda","18.6","83.75","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Banganapalle","15.3167","78.2333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gannavaram","16.5333","80.8","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Achampet","16.6299","80.1213","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vinjamur","14.833","79.583","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kamalapuram","14.5833","78.65","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nellimarla","18.1667","83.4333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nadikude","16.5941","79.7167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chandragiri","13.5833","79.3167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gopavaram","14.7853","78.5728","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chodavaram","17.8333","82.95","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Erragondapalem","16.0397","79.3043","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Marjampad","16.592","79.908","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kothanuru","16.0022","81.0417","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Karlapalem","15.9333","80.55","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ellamanda","16.1847","80.0546","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kanekallu","14.8864","77.0317","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Namburu","16.36","80.52","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Akanavaritota","16.4141","81.6367","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
