"City","City_latitude","City_longitude","State","Airport","Airport _latitude","Airport _longitude","iata_code","Distance"
"Owk","15.2167","78.1167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","105.5787772"
"Nandimandalam","14.4052","78.5246","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","29.15282069"
"Kurabalakota","13.65","78.4833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","100.5953042"
"Chennur","14.1473","79.8477","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","122.6288344"
"Kundurpi","14.2833","77.0333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","189.035163"
"Satyavedu","13.437","79.956","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.7443973"
"Kalakada","13.8167","78.8","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","77.14728111"
"Pallipattu","13.3361","79.4413","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","149.1449839"
"Gundrajukuppam","13.3406","79.5687","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","155.8424178"
"Yalluru","15.3063","78.4559","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","94.86554282"
"Konakondla","15.1053","77.364","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","165.2800208"
"Iskapalem","14.5416","79.8925","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","120.5783713"
"Kovurupalli","14.7772","79.9999","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","135.3189977"
"Narayanavanam","13.42","79.58","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","149.2554194"
"Chintakunta","14.6476","78.469","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","36.09455007"
"Talupula","14.25","78.2667","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","61.70260881"
"Budili","13.9353","77.7355","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","128.7783972"
"Arambakkam","13.5258","80.071","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","177.7411364"
"Nagalapuram","13.3889","79.7967","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.5814479"
"Palukudoddi","15.8504","77.6753","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","189.9605662"
"Rolla","13.8331","77.1","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","195.419061"
"Chinna Annaluru","14.8913","79.6761","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.0046273"
"Nallamada","14.2164","77.9944","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","89.9779451"
"Sankhavaram","15.0497","78.9836","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","64.14977371"
"Erraguntla","15.2821","78.5106","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","90.35798123"
"Yellayapalem","14.5378","79.9515","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","126.9166776"
"Kondakomarla","14.0678","77.9561","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","100.806276"
"Moda","13.8246","77.4421","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","162.4504507"
"Jaladurgam","15.284","77.9001","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","127.2829446"
"Komarolu","15.2667","79","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","87.61247301"
"Enumulapalle","14.1446","77.8166","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.7383717"
"Sangam","14.5956","79.7428","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","104.8336405"
"Hemavati","14.0232","76.995","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","199.0825118"
"Gudibanda","13.9753","77.1046","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","189.3662896"
"Chinnamandem","13.9419","78.6814","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","63.93307502"
"Ghattu","13.6602","78.3331","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","105.7244001"
"Nagambhotlapalem","15.6804","79.8151","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","171.6346945"
"Devanakonda","15.5333","77.55","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","173.7576378"
"Krishnamsettipalle","15.3695","78.884","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","96.31610205"
"Vikrutamala","13.6206","79.5642","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.6419668"
"Koduru","13.8692","77.7298","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","133.1116053"
"Tripurantakam","16.0007","79.4563","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","181.2514883"
"Peravali","15.2861","77.4997","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","161.7456519"
"Konkavaripalle","13.7125","78.4861","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","93.91232721"
"Lakkireddipalle","14.1667","78.7","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","38.97012468"
"Srisailain","16.0833","78.8667","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","175.232737"
"Gaunivaripalle","13.9756","77.8768","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.3840759"
"Somireddipalle","14.8365","78.9062","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","39.03890819"
"Reddipalle","14.1993","78.0102","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","89.11678493"
"Nagasamudram","15.0556","77.5004","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","149.6475365"
"Kandulapuram","15.5976","79.1365","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","127.0855058"
"Roddam","14.1","77.43","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","151.6931744"
"Vutukuru","14.5778","80.1423","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","147.5962594"
"Kondakindi Agraharam","14.679","77.7401","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","112.7012339"
"Jangalapalle","14.8997","79.8936","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","128.0987973"
"Rangasamudram","14.9852","78.9765","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","57.20081723"
"Lepakshi","13.81","77.6","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","148.4808605"
"Medarametla","15.7167","80.0167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","189.2995343"
"Nidamaluru","15.6547","80.0678","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","188.5006881"
"Kambhaladinne","15.1274","79.5413","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","107.4147497"
"Erraballa","14.3971","78.1744","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","65.64254699"
