City ,State,latitude,longitude,Airport_Name,lat,lng,iata_code
Chagalamarri,Andhra Pradesh,14.9667,78.5833,Kadapa Airport,14.51,78.772778,CDP
Nizampatam,Andhra Pradesh,15.9,80.6667,Kadapa Airport,14.51,78.772778,CDP
Palkonda,Andhra Pradesh,18.6,83.75,Kadapa Airport,14.51,78.772778,CDP
Banganapalle,Andhra Pradesh,15.3167,78.2333,Kadapa Airport,14.51,78.772778,CDP
Gannavaram,Andhra Pradesh,16.5333,80.8,Kadapa Airport,14.51,78.772778,CDP
Achampet,Andhra Pradesh,16.6299,80.1213,Kadapa Airport,14.51,78.772778,CDP
Vinjamur,Andhra Pradesh,14.833,79.583,Kadapa Airport,14.51,78.772778,CDP
Kamalapuram,Andhra Pradesh,14.5833,78.65,Kadapa Airport,14.51,78.772778,CDP
Nellimarla,Andhra Pradesh,18.1667,83.4333,Kadapa Airport,14.51,78.772778,CDP
Nadikude,Andhra Pradesh,16.5941,79.7167,Kadapa Airport,14.51,78.772778,CDP
Chandragiri,Andhra Pradesh,13.5833,79.3167,Kadapa Airport,14.51,78.772778,CDP
Gopavaram,Andhra Pradesh,14.7853,78.5728,Kadapa Airport,14.51,78.772778,CDP
Chodavaram,Andhra Pradesh,17.8333,82.95,Kadapa Airport,14.51,78.772778,CDP
Erragondapalem,Andhra Pradesh,16.0397,79.3043,Kadapa Airport,14.51,78.772778,CDP
Marjampad,Andhra Pradesh,16.592,79.908,Kadapa Airport,14.51,78.772778,CDP
Kothanuru,Andhra Pradesh,16.0022,81.0417,Kadapa Airport,14.51,78.772778,CDP
Karlapalem,Andhra Pradesh,15.9333,80.55,Kadapa Airport,14.51,78.772778,CDP
Ellamanda,Andhra Pradesh,16.1847,80.0546,Kadapa Airport,14.51,78.772778,CDP
Kanekallu,Andhra Pradesh,14.8864,77.0317,Kadapa Airport,14.51,78.772778,CDP
Namburu,Andhra Pradesh,16.36,80.52,Kadapa Airport,14.51,78.772778,CDP
Akanavaritota,Andhra Pradesh,16.4141,81.6367,Kadapa Airport,14.51,78.772778,CDP
Yandrapalle,Andhra Pradesh,16.0472,79.3073,Kadapa Airport,14.51,78.772778,CDP
Peruru,Andhra Pradesh,14.3503,77.3497,Kadapa Airport,14.51,78.772778,CDP
Chinna Ganjam,Andhra Pradesh,15.7,80.25,Kadapa Airport,14.51,78.772778,CDP
Narapala,Andhra Pradesh,14.7206,77.8106,Kadapa Airport,14.51,78.772778,CDP
Varidhanam,Andhra Pradesh,16.5576,81.8303,Kadapa Airport,14.51,78.772778,CDP
Somandepalle,Andhra Pradesh,14.0078,77.6086,Kadapa Airport,14.51,78.772778,CDP
Gatada,Andhra Pradesh,18.4144,83.5041,Kadapa Airport,14.51,78.772778,CDP
Jaggampeta,Andhra Pradesh,17.1833,82.05,Kadapa Airport,14.51,78.772778,CDP
Kottakota,Andhra Pradesh,17.7513,82.7004,Kadapa Airport,14.51,78.772778,CDP
Sompeta,Andhra Pradesh,18.93,84.6,Kadapa Airport,14.51,78.772778,CDP
Tadikonda,Andhra Pradesh,16.4167,80.4542,Kadapa Airport,14.51,78.772778,CDP
Sirvel,Andhra Pradesh,15.321,78.5344,Kadapa Airport,14.51,78.772778,CDP
Asakapalle,Andhra Pradesh,17.7364,83.3,Kadapa Airport,14.51,78.772778,CDP
Tummalapenta,Andhra Pradesh,14.8997,80.0687,Kadapa Airport,14.51,78.772778,CDP
Kottapalle,Andhra Pradesh,17.2918,81.8939,Kadapa Airport,14.51,78.772778,CDP
Kotta Kalidindi,Andhra Pradesh,16.5032,81.2877,Kadapa Airport,14.51,78.772778,CDP
Lakshmaneswaram,Andhra Pradesh,16.4082,81.6867,Kadapa Airport,14.51,78.772778,CDP
Veldurti,Andhra Pradesh,15.5667,77.9167,Kadapa Airport,14.51,78.772778,CDP
Vissannapeta,Andhra Pradesh,16.9398,80.7828,Kadapa Airport,14.51,78.772778,CDP
Pulla,Andhra Pradesh,16.806,81.3241,Kadapa Airport,14.51,78.772778,CDP
Inkollu,Andhra Pradesh,15.83,80.2,Kadapa Airport,14.51,78.772778,CDP
Vayalpad,Andhra Pradesh,13.65,78.6333,Kadapa Airport,14.51,78.772778,CDP
Gunjapalle,Andhra Pradesh,14.3845,77.9495,Kadapa Airport,14.51,78.772778,CDP
Yerrapalem,Andhra Pradesh,16.15,80.03,Kadapa Airport,14.51,78.772778,CDP
Padugupadu,Andhra Pradesh,14.4885,79.9923,Kadapa Airport,14.51,78.772778,CDP
Tadigadapa,Andhra Pradesh,16.4713,80.697,Kadapa Airport,14.51,78.772778,CDP
Gudipallipadu,Andhra Pradesh,14.4588,80.0482,Kadapa Airport,14.51,78.772778,CDP
Challapalle,Andhra Pradesh,16.1167,80.9333,Kadapa Airport,14.51,78.772778,CDP
Pernamitta,Andhra Pradesh,15.5333,80,Kadapa Airport,14.51,78.772778,CDP
Srikurmam,Andhra Pradesh,18.2708,84.0044,Kadapa Airport,14.51,78.772778,CDP
Perupalem,Andhra Pradesh,16.3705,81.5813,Kadapa Airport,14.51,78.772778,CDP
Kottapeta,Andhra Pradesh,15.7913,80.377,Kadapa Airport,14.51,78.772778,CDP
Kamavarapukota,Andhra Pradesh,17.0031,81.1219,Kadapa Airport,14.51,78.772778,CDP
Tsundupalle,Andhra Pradesh,13.9809,78.9152,Kadapa Airport,14.51,78.772778,CDP
Balighattam,Andhra Pradesh,17.651,82.6059,Kadapa Airport,14.51,78.772778,CDP
Gonegandla,Andhra Pradesh,15.7167,77.6,Kadapa Airport,14.51,78.772778,CDP
Podalakur,Andhra Pradesh,14.3667,79.7333,Kadapa Airport,14.51,78.772778,CDP
Kakkalapalle,Andhra Pradesh,14.6415,77.5668,Kadapa Airport,14.51,78.772778,CDP
Paragaticherla,Andhra Pradesh,16.2496,79.9679,Kadapa Airport,14.51,78.772778,CDP
Rentachintala,Andhra Pradesh,16.5525,79.5533,Kadapa Airport,14.51,78.772778,CDP
Gokavaram,Andhra Pradesh,17.2667,81.85,Kadapa Airport,14.51,78.772778,CDP
Phirangipuram,Andhra Pradesh,16.2889,80.2628,Kadapa Airport,14.51,78.772778,CDP
Nunna,Andhra Pradesh,16.5788,80.6841,Kadapa Airport,14.51,78.772778,CDP
Galivedu,Andhra Pradesh,14.0333,78.5,Kadapa Airport,14.51,78.772778,CDP
Kota,Andhra Pradesh,14.0333,80.05,Kadapa Airport,14.51,78.772778,CDP
Tadikalapudi,Andhra Pradesh,16.5356,81.1033,Kadapa Airport,14.51,78.772778,CDP
Porumamilla,Andhra Pradesh,15.0167,78.9833,Kadapa Airport,14.51,78.772778,CDP
Agiripalle,Andhra Pradesh,16.6833,80.65,Kadapa Airport,14.51,78.772778,CDP
Chennur,Andhra Pradesh,14.5667,78.8,Kadapa Airport,14.51,78.772778,CDP
Anantapalle,Andhra Pradesh,16.9767,81.4442,Kadapa Airport,14.51,78.772778,CDP
Kolluru,Andhra Pradesh,16.1847,80.7961,Kadapa Airport,14.51,78.772778,CDP
Vontimitta,Andhra Pradesh,14.3833,79.0333,Kadapa Airport,14.51,78.772778,CDP
Penugonda,Andhra Pradesh,16.6547,81.7445,Kadapa Airport,14.51,78.772778,CDP
Patapatnam,Andhra Pradesh,18.75,84.0833,Kadapa Airport,14.51,78.772778,CDP
Udayagiri,Andhra Pradesh,14.8667,79.3167,Kadapa Airport,14.51,78.772778,CDP
Kasimkota,Andhra Pradesh,17.6736,82.9634,Kadapa Airport,14.51,78.772778,CDP
Dubacherla,Andhra Pradesh,16.9116,81.3569,Kadapa Airport,14.51,78.772778,CDP
Narendrapatnam,Andhra Pradesh,17.0964,81.8812,Kadapa Airport,14.51,78.772778,CDP
Kolakaluru,Andhra Pradesh,16.3052,80.6182,Kadapa Airport,14.51,78.772778,CDP
